At time 0, Job1 arrives.
At time 13, Job1 finishes at disk1.
At time 10, Job2 arrives.
At time 36, Job1 finishes at network.
At time 16, Job3 arrives.
At time 53, Job1 finishes at network.
At time 34, Job4 arrives.
At time 74, Job1 finishes at disk1.
At time 52, Job5 arrives.
At time 107, Job1 finishes at disk1.
At time 61, Job6 arrives.
At time 128, Job1 finishes at disk1.
At time 69, Job7 arrives.
At time 151, Job1 finishes at disk1.
At time 83, Job8 arrives.
At time 165, Job1 finishes at network.
At time 88, Job9 arrives.
At time 181, Job1 finishes at network.
At time 105, Job10 arrives.
At time 216, Job1 finishes at disk1.
At time 111, Job11 arrives.
At time 238, Job1 finishes at disk1.
At time 117, Job12 arrives.
At time 245, Job1 finishes at network.
At time 131, Job13 arrives.
At time 276, Job1 finishes at network.
At time 141, Job14 arrives.
At time 249, Job1 exits from CPU.
At time 147, Job15 arrives.
At time 318, Job2 finishes at disk1.
At time 161, Job16 arrives.
At time 335, Job2 finishes at network.
At time 174, Job17 arrives.
At time 307, Job2 exits from CPU.
At time 188, Job18 arrives.
At time 392, Job3 finishes at disk1.
At time 199, Job19 arrives.
At time 411, Job3 finishes at network.
At time 211, Job20 arrives.
At time 442, Job3 finishes at network.
At time 230, Job21 arrives.
At time 463, Job3 finishes at disk1.
At time 246, Job22 arrives.
At time 495, Job3 finishes at network.
At time 261, Job23 arrives.
At time 519, Job3 finishes at disk1.
At time 271, Job24 arrives.
At time 542, Job3 finishes at network.
At time 278, Job25 arrives.
At time 564, Job3 finishes at disk1.
At time 296, Job26 arrives.
At time 506, Job3 exits from CPU.
At time 315, Job27 arrives.
At time 627, Job4 finishes at disk1.
At time 324, Job28 arrives.
At time 549, Job4 exits from CPU.
At time 333, Job29 arrives.
At time 567, Job5 exits from CPU.
At time 344, Job30 arrives.
At time 687, Job6 finishes at disk1.
At time 364, Job31 arrives.
At time 616, Job6 exits from CPU.
At time 375, Job32 arrives.
At time 742, Job7 finishes at disk1.
At time 381, Job33 arrives.
At time 762, Job7 finishes at disk1.
At time 396, Job34 arrives.
At time 752, Job7 finishes at network.
At time 402, Job35 arrives.
At time 773, Job7 finishes at network.
At time 407, Job36 arrives.
At time 812, Job7 finishes at disk1.
At time 426, Job37 arrives.
At time 850, Job7 finishes at disk1.
At time 445, Job38 arrives.
At time 745, Job7 exits from CPU.
At time 465, Job39 arrives.
At time 878, Job8 finishes at network.
At time 482, Job40 arrives.
At time 798, Job8 exits from CPU.
At time 497, Job41 arrives.
At time 958, Job9 finishes at disk1.
At time 506, Job42 arrives.
At time 977, Job9 finishes at disk1.
At time 512, Job43 arrives.
At time 997, Job9 finishes at disk1.
At time 532, Job44 arrives.
At time 1031, Job9 finishes at disk1.
At time 539, Job45 arrives.
At time 1050, Job9 finishes at disk1.
At time 548, Job46 arrives.
At time 901, Job9 exits from CPU.
At time 563, Job47 arrives.
At time 1039, Job10 finishes at network.
At time 580, Job48 arrives.
At time 1124, Job10 finishes at disk1.
At time 596, Job49 arrives.
At time 1155, Job10 finishes at disk1.
At time 609, Job50 arrives.
At time 1118, Job10 finishes at network.
At time 627, Job51 arrives.
At time 1211, Job10 finishes at disk1.
At time 636, Job52 arrives.
At time 1042, Job10 exits from CPU.
At time 647, Job53 arrives.
At time 1254, Job11 finishes at disk1.
At time 654, Job54 arrives.
At time 1203, Job11 finishes at network.
At time 673, Job55 arrives.
At time 1237, Job11 finishes at network.
At time 687, Job56 arrives.
At time 1320, Job11 finishes at disk1.
At time 706, Job57 arrives.
At time 1359, Job11 finishes at disk1.
At time 713, Job58 arrives.
At time 1378, Job11 finishes at disk1.
At time 730, Job59 arrives.
At time 1188, Job11 exits from CPU.
At time 748, Job60 arrives.
At time 1432, Job12 finishes at disk1.
At time 756, Job61 arrives.
At time 1450, Job12 finishes at disk1.
At time 769, Job62 arrives.
At time 1245, Job12 exits from CPU.
At time 789, Job63 arrives.
At time 1504, Job13 finishes at disk1.
At time 805, Job64 arrives.
At time 1436, Job13 finishes at network.
At time 812, Job65 arrives.
At time 1308, Job13 exits from CPU.
At time 826, Job66 arrives.
At time 1565, Job14 finishes at disk1.
At time 842, Job67 arrives.
At time 1499, Job14 finishes at network.
At time 849, Job68 arrives.
At time 1366, Job14 exits from CPU.
At time 864, Job69 arrives.
At time 1631, Job15 finishes at disk1.
At time 874, Job70 arrives.
At time 1655, Job15 finishes at disk1.
At time 894, Job71 arrives.
At time 1592, Job15 finishes at network.
At time 910, Job72 arrives.
At time 1711, Job15 finishes at disk1.
At time 927, Job73 arrives.
At time 1743, Job15 finishes at disk1.
At time 946, Job74 arrives.
At time 1779, Job15 finishes at disk1.
At time 959, Job75 arrives.
At time 1808, Job15 finishes at disk1.
At time 970, Job76 arrives.
At time 1835, Job15 finishes at disk1.
At time 982, Job77 arrives.
At time 1864, Job15 finishes at disk1.
At time 1000, Job78 arrives.
At time 1899, Job15 finishes at disk1.
At time 1015, Job79 arrives.
At time 1788, Job15 finishes at network.
At time 1020, Job80 arrives.
At time 1945, Job15 finishes at disk1.
At time 1032, Job81 arrives.
At time 1972, Job15 finishes at disk1.
At time 1049, Job82 arrives.
At time 2000, Job15 finishes at disk1.
At time 1061, Job83 arrives.
At time 2030, Job15 finishes at disk1.
At time 1073, Job84 arrives.
At time 1712, Job15 exits from CPU.
At time 1083, Job85 arrives.
At time 2073, Job16 finishes at disk1.
At time 1090, Job86 arrives.
At time 1921, Job16 finishes at network.
At time 1100, Job87 arrives.
At time 1767, Job16 exits from CPU.
At time 1105, Job88 arrives.
At time 2132, Job17 finishes at disk1.
At time 1113, Job89 arrives.
At time 2154, Job17 finishes at disk1.
At time 1128, Job90 arrives.
At time 2185, Job17 finishes at disk1.
At time 1146, Job91 arrives.
At time 2220, Job17 finishes at disk1.
At time 1157, Job92 arrives.
At time 2041, Job17 finishes at network.
At time 1175, Job93 arrives.
At time 2273, Job17 finishes at disk1.
At time 1191, Job94 arrives.
At time 2099, Job17 finishes at network.
At time 1199, Job95 arrives.
At time 2122, Job17 finishes at network.
At time 1210, Job96 arrives.
At time 2148, Job17 finishes at network.
At time 1222, Job97 arrives.
At time 2179, Job17 finishes at network.
At time 1241, Job98 arrives.
At time 2213, Job17 finishes at network.
At time 1259, Job99 arrives.
At time 2405, Job17 finishes at disk1.
At time 1269, Job100 arrives.
At time 2027, Job17 exits from CPU.
At time 1289, Job101 arrives.
At time 2451, Job18 finishes at disk1.
At time 1294, Job102 arrives.
At time 2468, Job18 finishes at disk1.
At time 1299, Job103 arrives.
At time 2488, Job18 finishes at disk1.
At time 1314, Job104 arrives.
At time 2519, Job18 finishes at disk1.
At time 1333, Job105 arrives.
At time 2358, Job18 finishes at network.
At time 1351, Job106 arrives.
At time 2577, Job18 finishes at disk1.
At time 1369, Job107 arrives.
At time 2608, Job18 finishes at disk1.
At time 1388, Job108 arrives.
At time 2441, Job18 finishes at network.
At time 1396, Job109 arrives.
At time 2466, Job18 finishes at network.
At time 1412, Job110 arrives.
At time 2495, Job18 finishes at network.
At time 1422, Job111 arrives.
At time 2699, Job18 finishes at disk1.
At time 1438, Job112 arrives.
At time 2283, Job18 exits from CPU.
At time 1447, Job113 arrives.
At time 2746, Job19 finishes at disk1.
At time 1465, Job114 arrives.
At time 2324, Job19 exits from CPU.
At time 1484, Job115 arrives.
At time 2803, Job20 finishes at disk1.
At time 1492, Job116 arrives.
At time 2628, Job20 finishes at network.
At time 1498, Job117 arrives.
At time 2381, Job20 exits from CPU.
At time 1516, Job118 arrives.
At time 2870, Job21 finishes at disk1.
At time 1532, Job119 arrives.
At time 2703, Job21 finishes at network.
At time 1538, Job120 arrives.
At time 2720, Job21 finishes at network.
At time 1555, Job121 arrives.
At time 2940, Job21 finishes at disk1.
At time 1563, Job122 arrives.
At time 2966, Job21 finishes at disk1.
At time 1579, Job123 arrives.
At time 2996, Job21 finishes at disk1.
At time 1589, Job124 arrives.
At time 3024, Job21 finishes at disk1.
At time 1600, Job125 arrives.
At time 2549, Job21 exits from CPU.
At time 1620, Job126 arrives.
At time 3078, Job22 finishes at disk1.
At time 1635, Job127 arrives.
At time 2599, Job22 exits from CPU.
At time 1651, Job128 arrives.
At time 2907, Job23 finishes at network.
At time 1668, Job129 arrives.
At time 2648, Job23 exits from CPU.
At time 1688, Job130 arrives.
At time 2673, Job24 exits from CPU.
At time 1706, Job131 arrives.
At time 3210, Job25 finishes at disk1.
At time 1713, Job132 arrives.
At time 3229, Job25 finishes at disk1.
At time 1727, Job133 arrives.
At time 3262, Job25 finishes at disk1.
At time 1737, Job134 arrives.
At time 3285, Job25 finishes at disk1.
At time 1747, Job135 arrives.
At time 3308, Job25 finishes at disk1.
At time 1756, Job136 arrives.
At time 3331, Job25 finishes at disk1.
At time 1765, Job137 arrives.
At time 3354, Job25 finishes at disk1.
At time 1775, Job138 arrives.
At time 3377, Job25 finishes at disk1.
At time 1788, Job139 arrives.
At time 3402, Job25 finishes at disk1.
At time 1803, Job140 arrives.
At time 3431, Job25 finishes at disk1.
At time 1813, Job141 arrives.
At time 3167, Job25 finishes at network.
At time 1824, Job142 arrives.
At time 2893, Job25 exits from CPU.
At time 1831, Job143 arrives.
At time 2907, Job26 exits from CPU.
At time 1839, Job144 arrives.
At time 2925, Job27 exits from CPU.
At time 1853, Job145 arrives.
At time 3527, Job28 finishes at disk1.
At time 1860, Job146 arrives.
At time 3551, Job28 finishes at disk1.
At time 1865, Job147 arrives.
At time 2976, Job28 exits from CPU.
At time 1881, Job148 arrives.
At time 3596, Job29 finishes at disk1.
At time 1900, Job149 arrives.
At time 3633, Job29 finishes at disk1.
At time 1920, Job150 arrives.
At time 3669, Job29 finishes at disk1.
At time 1933, Job151 arrives.
At time 3381, Job29 finishes at network.
At time 1948, Job152 arrives.
At time 3726, Job29 finishes at disk1.
At time 1962, Job153 arrives.
At time 3756, Job29 finishes at disk1.
At time 1982, Job154 arrives.
At time 3791, Job29 finishes at disk1.
At time 1996, Job155 arrives.
At time 3178, Job29 exits from CPU.
At time 2007, Job156 arrives.
At time 3498, Job30 finishes at network.
At time 2024, Job157 arrives.
At time 3222, Job30 exits from CPU.
At time 2043, Job158 arrives.
At time 3251, Job31 exits from CPU.
At time 2061, Job159 arrives.
At time 3924, Job32 finishes at disk1.
At time 2075, Job160 arrives.
At time 3615, Job32 finishes at network.
At time 2082, Job161 arrives.
At time 3973, Job32 finishes at disk1.
At time 2095, Job162 arrives.
At time 4003, Job32 finishes at disk1.
At time 2103, Job163 arrives.
At time 3673, Job32 finishes at network.
At time 2109, Job164 arrives.
At time 4037, Job32 finishes at disk1.
At time 2126, Job165 arrives.
At time 4072, Job32 finishes at disk1.
At time 2144, Job166 arrives.
At time 3741, Job32 finishes at network.
At time 2158, Job167 arrives.
At time 4126, Job32 finishes at disk1.
At time 2174, Job168 arrives.
At time 3796, Job32 finishes at network.
At time 2182, Job169 arrives.
At time 3477, Job32 exits from CPU.
At time 2189, Job170 arrives.
At time 4190, Job33 finishes at disk1.
At time 2194, Job171 arrives.
At time 4207, Job33 finishes at disk1.
At time 2214, Job172 arrives.
At time 4245, Job33 finishes at disk1.
At time 2227, Job173 arrives.
At time 4272, Job33 finishes at disk1.
At time 2237, Job174 arrives.
At time 4299, Job33 finishes at disk1.
At time 2257, Job175 arrives.
At time 3937, Job33 finishes at network.
At time 2275, Job176 arrives.
At time 3625, Job33 exits from CPU.
At time 2286, Job177 arrives.
At time 3642, Job34 exits from CPU.
At time 2299, Job178 arrives.
At time 4396, Job35 finishes at disk1.
At time 2307, Job179 arrives.
At time 4415, Job35 finishes at disk1.
At time 2324, Job180 arrives.
At time 4449, Job35 finishes at disk1.
At time 2330, Job181 arrives.
At time 4063, Job35 finishes at network.
At time 2347, Job182 arrives.
At time 3743, Job35 exits from CPU.
At time 2357, Job183 arrives.
At time 3760, Job36 exits from CPU.
At time 2376, Job184 arrives.
At time 3789, Job37 exits from CPU.
At time 2394, Job185 arrives.
At time 4566, Job38 finishes at disk1.
At time 2402, Job186 arrives.
At time 4181, Job38 finishes at network.
At time 2417, Job187 arrives.
At time 4612, Job38 finishes at disk1.
At time 2423, Job188 arrives.
At time 4229, Job38 finishes at network.
At time 2440, Job189 arrives.
At time 3891, Job38 exits from CPU.
At time 2452, Job190 arrives.
At time 4682, Job39 finishes at disk1.
At time 2469, Job191 arrives.
At time 4717, Job39 finishes at disk1.
At time 2479, Job192 arrives.
At time 3954, Job39 exits from CPU.
At time 2494, Job193 arrives.
At time 4350, Job40 finishes at network.
At time 2506, Job194 arrives.
At time 3997, Job40 exits from CPU.
At time 2513, Job195 arrives.
At time 4802, Job41 finishes at disk1.
At time 2522, Job196 arrives.
At time 4825, Job41 finishes at disk1.
At time 2535, Job197 arrives.
At time 4850, Job41 finishes at disk1.
At time 2552, Job198 arrives.
At time 4455, Job41 finishes at network.
At time 2558, Job199 arrives.
At time 4476, Job41 finishes at network.
At time 2569, Job200 arrives.
At time 4103, Job41 exits from CPU.
At time 2585, Job201 arrives.
At time 4938, Job42 finishes at disk1.
At time 2593, Job202 arrives.
At time 4957, Job42 finishes at disk1.
At time 2602, Job203 arrives.
At time 4982, Job42 finishes at disk1.
At time 2618, Job204 arrives.
At time 5013, Job42 finishes at disk1.
At time 2624, Job205 arrives.
At time 4198, Job42 exits from CPU.
At time 2641, Job206 arrives.
At time 5055, Job43 finishes at disk1.
At time 2658, Job207 arrives.
At time 5084, Job43 finishes at disk1.
At time 2677, Job208 arrives.
At time 5119, Job43 finishes at disk1.
At time 2691, Job209 arrives.
At time 4293, Job43 exits from CPU.
At time 2711, Job210 arrives.
At time 5171, Job44 finishes at disk1.
At time 2718, Job211 arrives.
At time 4334, Job44 exits from CPU.
At time 2730, Job212 arrives.
At time 5210, Job45 finishes at disk1.
At time 2745, Job213 arrives.
At time 5240, Job45 finishes at disk1.
At time 2755, Job214 arrives.
At time 4786, Job45 finishes at network.
At time 2766, Job215 arrives.
At time 5276, Job45 finishes at disk1.
At time 2778, Job216 arrives.
At time 4829, Job45 finishes at network.
At time 2789, Job217 arrives.
At time 5321, Job45 finishes at disk1.
At time 2806, Job218 arrives.
At time 4879, Job45 finishes at network.
At time 2822, Job219 arrives.
At time 4493, Job45 exits from CPU.
At time 2832, Job220 arrives.
At time 4509, Job46 exits from CPU.
At time 2841, Job221 arrives.
At time 4948, Job47 finishes at network.
At time 2858, Job222 arrives.
At time 4550, Job47 exits from CPU.
At time 2872, Job223 arrives.
At time 5455, Job48 finishes at disk1.
At time 2892, Job224 arrives.
At time 5025, Job48 finishes at network.
At time 2902, Job225 arrives.
At time 5509, Job48 finishes at disk1.
At time 2921, Job226 arrives.
At time 4641, Job48 exits from CPU.
At time 2939, Job227 arrives.
At time 5565, Job49 finishes at disk1.
At time 2955, Job228 arrives.
At time 5597, Job49 finishes at disk1.
At time 2966, Job229 arrives.
At time 5620, Job49 finishes at disk1.
At time 2971, Job230 arrives.
At time 5637, Job49 finishes at disk1.
At time 2989, Job231 arrives.
At time 5669, Job49 finishes at disk1.
At time 3008, Job232 arrives.
At time 5705, Job49 finishes at disk1.
At time 3014, Job233 arrives.
At time 4785, Job49 exits from CPU.
At time 3029, Job234 arrives.
At time 5751, Job50 finishes at disk1.
At time 3049, Job235 arrives.
At time 5790, Job50 finishes at disk1.
At time 3056, Job236 arrives.
At time 4851, Job50 exits from CPU.
At time 3072, Job237 arrives.
At time 5838, Job51 finishes at disk1.
At time 3091, Job238 arrives.
At time 4901, Job51 exits from CPU.
At time 3110, Job239 arrives.
At time 4926, Job52 exits from CPU.
At time 3122, Job240 arrives.
At time 5915, Job53 finishes at disk1.
At time 3136, Job241 arrives.
At time 5405, Job53 finishes at network.
At time 3144, Job242 arrives.
At time 4981, Job53 exits from CPU.
At time 3149, Job243 arrives.
At time 5969, Job54 finishes at disk1.
At time 3159, Job244 arrives.
At time 5990, Job54 finishes at disk1.
At time 3175, Job245 arrives.
At time 5028, Job54 exits from CPU.
At time 3193, Job246 arrives.
At time 5056, Job55 exits from CPU.
At time 3206, Job247 arrives.
At time 6067, Job56 finishes at disk1.
At time 3221, Job248 arrives.
At time 6097, Job56 finishes at disk1.
At time 3234, Job249 arrives.
At time 5566, Job56 finishes at network.
At time 3245, Job250 arrives.
At time 5589, Job56 finishes at network.
At time 3258, Job251 arrives.
At time 6162, Job56 finishes at disk1.
At time 3264, Job252 arrives.
At time 6184, Job56 finishes at disk1.
At time 3282, Job253 arrives.
At time 5197, Job56 exits from CPU.
At time 3293, Job254 arrives.
At time 5674, Job57 finishes at network.
At time 3302, Job255 arrives.
At time 6254, Job57 finishes at disk1.
At time 3314, Job256 arrives.
At time 6280, Job57 finishes at disk1.
At time 3324, Job257 arrives.
At time 6306, Job57 finishes at disk1.
At time 3332, Job258 arrives.
At time 5749, Job57 finishes at network.
At time 3351, Job259 arrives.
At time 6351, Job57 finishes at disk1.
At time 3364, Job260 arrives.
At time 5806, Job57 finishes at network.
At time 3381, Job261 arrives.
At time 6407, Job57 finishes at disk1.
At time 3386, Job262 arrives.
At time 5371, Job57 exits from CPU.
At time 3404, Job263 arrives.
At time 5397, Job58 exits from CPU.
At time 3411, Job264 arrives.
At time 6466, Job59 finishes at disk1.
At time 3426, Job265 arrives.
At time 6495, Job59 finishes at disk1.
At time 3436, Job266 arrives.
At time 6520, Job59 finishes at disk1.
At time 3444, Job267 arrives.
At time 6546, Job59 finishes at disk1.
At time 3456, Job268 arrives.
At time 5969, Job59 finishes at network.
At time 3474, Job269 arrives.
At time 6600, Job59 finishes at disk1.
At time 3479, Job270 arrives.
At time 6012, Job59 finishes at network.
At time 3493, Job271 arrives.
At time 6637, Job59 finishes at disk1.
At time 3503, Job272 arrives.
At time 6058, Job59 finishes at network.
At time 3515, Job273 arrives.
At time 6678, Job59 finishes at disk1.
At time 3525, Job274 arrives.
At time 5594, Job59 exits from CPU.
At time 3540, Job275 arrives.
At time 6727, Job60 finishes at disk1.
At time 3549, Job276 arrives.
At time 6137, Job60 finishes at network.
At time 3556, Job277 arrives.
At time 6767, Job60 finishes at disk1.
At time 3564, Job278 arrives.
At time 6171, Job60 finishes at network.
At time 3584, Job279 arrives.
At time 6817, Job60 finishes at disk1.
At time 3597, Job280 arrives.
At time 6846, Job60 finishes at disk1.
At time 3614, Job281 arrives.
At time 6256, Job60 finishes at network.
At time 3619, Job282 arrives.
At time 6892, Job60 finishes at disk1.
At time 3630, Job283 arrives.
At time 6918, Job60 finishes at disk1.
At time 3635, Job284 arrives.
At time 6938, Job60 finishes at disk1.
At time 3640, Job285 arrives.
At time 6320, Job60 finishes at network.
At time 3655, Job286 arrives.
At time 6347, Job60 finishes at network.
At time 3671, Job287 arrives.
At time 7004, Job60 finishes at disk1.
At time 3679, Job288 arrives.
At time 7027, Job60 finishes at disk1.
At time 3688, Job289 arrives.
At time 7054, Job60 finishes at disk1.
At time 3695, Job290 arrives.
At time 7078, Job60 finishes at disk1.
At time 3705, Job291 arrives.
At time 5903, Job60 exits from CPU.
At time 3711, Job292 arrives.
At time 6459, Job61 finishes at network.
At time 3728, Job293 arrives.
At time 6490, Job61 finishes at network.
At time 3742, Job294 arrives.
At time 7163, Job61 finishes at disk1.
At time 3762, Job295 arrives.
At time 7197, Job61 finishes at disk1.
At time 3768, Job296 arrives.
At time 7217, Job61 finishes at disk1.
At time 3786, Job297 arrives.
At time 7249, Job61 finishes at disk1.
At time 3792, Job298 arrives.
At time 7269, Job61 finishes at disk1.
At time 3806, Job299 arrives.
At time 6621, Job61 finishes at network.
At time 3815, Job300 arrives.
At time 6078, Job61 exits from CPU.
At time 3824, Job301 arrives.
At time 7330, Job62 finishes at disk1.
At time 3836, Job302 arrives.
At time 7360, Job62 finishes at disk1.
At time 3847, Job303 arrives.
At time 7386, Job62 finishes at disk1.
At time 3865, Job304 arrives.
At time 7422, Job62 finishes at disk1.
At time 3872, Job305 arrives.
At time 7446, Job62 finishes at disk1.
At time 3884, Job306 arrives.
At time 7476, Job62 finishes at disk1.
At time 3891, Job307 arrives.
At time 6779, Job62 finishes at network.
At time 3901, Job308 arrives.
At time 6806, Job62 finishes at network.
At time 3921, Job309 arrives.
At time 7541, Job62 finishes at disk1.
At time 3931, Job310 arrives.
At time 7568, Job62 finishes at disk1.
At time 3938, Job311 arrives.
At time 7593, Job62 finishes at disk1.
At time 3949, Job312 arrives.
At time 6893, Job62 finishes at network.
At time 3958, Job313 arrives.
At time 6918, Job62 finishes at network.
At time 3968, Job314 arrives.
At time 6945, Job62 finishes at network.
At time 3979, Job315 arrives.
At time 7673, Job62 finishes at disk1.
At time 3997, Job316 arrives.
At time 7707, Job62 finishes at disk1.
At time 4011, Job317 arrives.
At time 7740, Job62 finishes at disk1.
At time 4031, Job318 arrives.
